Place,County,Population,Density,PerCapitaIncome,MedianIncome1,MedianIncome2
CARPINTERIA,Santa Barbara,13323,5152,33331,65467,76311
CARRICK,Siskiyou,66,1118.6,12639,NA,NA
CARSON,Los Angeles,92475,4939.1,23622,71420,76997
CARTAGO,Inyo,38,32.5,32953,46016,NA
CARUTHERS,Fresno,3338,1650,13785,44375,44898
CASA CONEJO,Ventura,3699,7836.9,28694,89432,100125
CASA DE ORO-MOUNT HELIX,San Diego,21076,3076.8,37682,75637,96717
CASMALIA,Santa Barbara,114,606.4,20635,47031,45938
CASPAR,Mendocino,599,200.2,28594,50000,75104
CASSEL,Shasta,349,172.3,27611,34600,33450
CASTAIC,Los Angeles,18619,2563.9,35715,105523,110130
CASTLE HILL,Contra Costa,1223,1682.3,54105,113952,124167
CASTRO VALLEY,Alameda,62363,3725.4,38897,83442,97572
CASTROVILLE,Monterey,6226,6092,14156,50000,52069
CATHEDRAL CITY,Riverside,52550,2444.2,19674,43128,47489
CATHEYS VALLEY,Mariposa,878,37.5,32190,51528,57813
CAYUCOS,San Luis Obispo,2553,823.5,45327,57863,73021
CAZADERO,Sonoma,312,43.8,25780,43875,42969
CEDAR RIDGE,Tuolumne,1132,145.3,33038,54271,73750
CEDAR SLOPE,Tulare,0,0,NA,NA,NA
CEDARVILLE,Modoc,297,54.6,22492,28274,29048
CENTERVILLE,Fresno,348,42.8,39458,85833,106250
CERES,Stanislaus,46570,4992.5,18575,46132,48964
CERRITOS,Los Angeles,49599,5686.7,35460,91487,100919
CHALFANT,Mono,714,25.5,34043,66361,86731
CHALLENGE-BROWNSVILLE,Yuba,952,98.1,19383,47959,36771
CHANNEL ISLANDS BEACH,Ventura,2778,6876.2,53956,90521,110461
CHARTER OAK,Los Angeles,9200,9913.8,24139,61946,70187
CHEROKEE,Butte,80,45.7,23230,36875,85156
CHEROKEE STRIP,Kern,295,3241.8,9350,36250,28026
CHERRYLAND,Alameda,15244,12735.2,20378,50374,50537
CHERRY VALLEY,Riverside,6823,850.7,29789,58080,66047
CHESTER,Plumas,1978,271.4,21631,40417,48409
CHICO,Butte,87517,2658.3,24775,42334,60195
CHILCOOT-VINTON,Plumas,130,9.8,14089,NA,NA
CHINA LAKE ACRES,Kern,1376,264.1,22054,21970,37422
CHINESE CAMP,Tuolumne,99,110.2,27201,24722,103125
CHINO,San Bernardino,80810,2724.2,23116,72554,78328
CHINO HILLS,San Bernardino,76187,1705,35529,97609,105911
CHOWCHILLA,Madera,18411,1653.1,11856,36852,38180
CHUALAR,Monterey,1255,2004.8,15542,58036,57679
CHULA VISTA,San Diego,253031,5098.2,25385,66110,74703
CITRUS,Los Angeles,11446,12904.2,17422,58626,61119
CITRUS HEIGHTS,Sacramento,84678,5951.1,24915,51150,59355
CLAREMONT,Los Angeles,35569,2664.3,39402,89648,108739
CLARKSBURG,Yolo,406,200.1,35308,49783,49130
CLAY,Sacramento,1153,170.7,35120,76184,71429
CLAYTON,Contra Costa,11328,2950,54740,131136,141623
CLEAR CREEK,Lassen,182,160.6,19851,33021,65938
CLEARLAKE,Lake,15121,1492.8,16301,25532,30772
CLEARLAKE OAKS,Lake,1547,782.1,20844,27500,38750
CLEARLAKE RIVIERA,Lake,2912,557.4,23831,43167,45842
CLEONE,Mendocino,679,426.2,31822,62632,59853
CLIO,Plumas,49,85.1,29645,75313,NA
CLIPPER MILLS,Butte,0,0,NA,NA,NA
CLOVERDALE,Sonoma,8692,2863,28677,59120,67746
CLOVIS,Fresno,98815,4210.8,28497,63662,74201
CLYDE,Contra Costa,680,4788.7,27403,41382,93750
COACHELLA,Riverside,42576,1470.7,12321,40423,40018
COALINGA,Fresno,17235,2581.6,19237,50373,53750
COARSEGOLD,Madera,1172,106.7,26734,30216,66346
COBB,Lake,1147,230.3,29938,71641,83357
COFFEE CREEK,Trinity,132,11.5,26230,58889,92500
COHASSET,Butte,808,31.9,21582,55595,58520
COLD SPRINGS,El Dorado,623,825.2,23860,49150,81458
COLD SPRINGS,Tuolumne,193,111.3,31913,34963,NA
COLEVILLE,Mono,395,28.7,36201,45147,46397
COLFAX,Placer,2424,1724,24810,46902,48269
COLLEGE CITY,Colusa,196,59.8,26042,97727,97727
COLLIERVILLE,San Joaquin,1942,294.5,28835,51595,60096
COLMA,San Mateo,1837,964.3,30256,88438,95208
COLOMA,El Dorado,761,226.8,30194,65426,66051
COLTON,San Bernardino,53129,3467,16004,39915,44608
COLUMBIA,Tuolumne,2456,412,20816,40313,52029
COLUSA,Colusa,5962,3250.8,22606,45959,50515
COMMERCE,Los Angeles,12975,1984.6,15625,45846,50948
COMPTCHE,Mendocino,77,66.7,47960,83750,NA
COMPTON,Los Angeles,97663,9754.6,13847,43230,45877
CONCORD,Contra Costa,125017,4093,31404,67122,78218
CONCOW,Butte,539,19.7,29949,34773,58438
CONTRA COSTA CENTRE,Contra Costa,6031,9482.7,57385,87721,107547
COPPEROPOLIS,Calaveras,4365,210,31166,56831,71477
CORCORAN,Kings,23634,3149.5,7995,34082,35048
CORNING,Tehama,7617,2145.6,13776,36906,35390
CORONA,Riverside,157395,4052.8,27577,77021,82607
CORONADO,San Diego,24333,3068.1,48476,90876,112608
CORONITA,Riverside,3397,4951.9,26292,78304,77857
CORRALITOS,Santa Cruz,2812,312.9,36032,84466,94778
CORTE MADERA,Marin,9478,2996.5,64762,113279,141143
COSTA MESA,Orange,111635,7110.5,33342,66491,76781
COTATI,Sonoma,7347,3908,32834,59808,75461
COTO DE CAZA,Orange,14647,1897,70990,166328,172654
COTTONWOOD,Shasta,4178,1805.5,17268,42660,44450
COULTERVILLE,Mariposa,227,53.9,28431,45000,NA
COUNTRY CLUB,San Joaquin,10018,5225.9,20643,43323,50168
COURTLAND,Sacramento,515,286.1,42765,58472,57266
COVELO,Mendocino,1444,203.5,17585,26389,23553
COVINA,Los Angeles,48429,6890.9,25622,64496,73113
COWAN,Stanislaus,510,3269.2,11454,37656,25833
CRESCENT CITY,Del Norte,7295,3716.3,12430,27885,43554
CRESCENT MILLS,Plumas,426,100.4,15014,31655,32230
CRESSEY,Merced,322,183.2,22093,53214,53214
CREST,San Diego,2393,366.4,35347,74115,79632
CRESTLINE,San Bernardino,9437,681.9,24754,47175,53552
CRESTON,San Luis Obispo,61,108.2,58821,83523,NA
C-ROAD,Plumas,213,79.9,23339,78796,79583
CROCKETT,Contra Costa,3151,2972.6,42310,81667,89588
CROMBERG,Plumas,172,19,48815,32188,163030
CROWLEY LAKE,Mono,707,251.9,40119,88500,93611
CROWS LANDING,Stanislaus,194,61.2,13302,29018,31563
CUDAHY,Los Angeles,24073,20487.7,11400,37759,36289
CULVER CITY,Los Angeles,39353,7699.7,45792,79292,99860
CUPERTINO,Santa Clara,59787,5285.7,55867,134872,158053
CUTLER,Tulare,4224,5234.2,6456,18346,17629
CUTTEN,Humboldt,3117,2408.8,30467,55080,71381
CUYAMA,Santa Barbara,72,158.9,10951,27188,27917
CYPRESS,Orange,48748,7373.8,33693,83819,92166
DALY CITY,San Mateo,103897,13599.1,28753,74489,83096
DANA POINT,Orange,33861,5210.2,51474,84404,103457
DANVILLE,Contra Costa,42891,2372.7,65783,140616,157842
DAPHNEDALE PARK,Modoc,20,15,NA,NA,NA
DARWIN,Inyo,18,13.4,24089,NA,NA
DAVENPORT,Santa Cruz,303,106.9,33563,67031,78393
DAVIS,Yolo,66093,6687.5,33646,57454,110692
DAY VALLEY,Santa Cruz,3869,209.1,39039,73393,85438
DEER PARK,Napa,1072,192.2,53298,97266,122361
DEL AIRE,Los Angeles,10406,10262.3,31248,79943,88997
DELANO,Kern,52883,3697.3,10455,36244,36684
DELFT COLONY,Tulare,164,2484.8,2685,8456,8456
DELHI,Merced,9918,2825.6,15121,46224,48077
DELLEKER,Plumas,798,288.5,20945,30878,66250
DEL MAR,San Diego,4242,2485.1,87852,103457,123938
DEL MONTE FOREST,Monterey,6439,800.5,48338,102396,126250
DEL REY,Fresno,1489,1223.5,9746,31222,31065
DEL REY OAKS,Monterey,1727,3597.9,41181,101250,120417
DEL RIO,Stanislaus,1769,970.4,50082,102679,117730
DENAIR,Stanislaus,4892,2469.5,22069,63136,68750
DERBY ACRES,Kern,324,90.5,26230,34792,62813
DESCANSO,San Diego,1305,67.9,30185,59115,54167
DESERT CENTER,Riverside,208,6.8,19180,55750,56500
DESERT EDGE,Riverside,4244,1871.3,19756,30579,43950
DESERT HOT SPRINGS,Riverside,27678,916.5,14466,33575,34850
DESERT PALMS,Riverside,6776,2536.9,46954,56108,82035
DESERT SHORES,Imperial,1039,1503.6,11407,30735,36111
DESERT VIEW HIGHLANDS,Los Angeles,2291,5206.8,19362,62946,70650
DIABLO,Contra Costa,969,714.1,113989,167188,NA
DIABLO GRANDE,Stanislaus,1083,211.8,33285,92880,92609
DIAMOND BAR,Los Angeles,56259,3781.1,34539,90901,95500
DIAMOND SPRINGS,El Dorado,12105,727.4,24922,52483,68474
DILLON BEACH,Marin,82,27.5,42220,44417,46389
DINUBA,Tulare,22828,3528.3,12838,38509,37478
DISCOVERY BAY,Contra Costa,14315,2272.2,43649,112063,114085
DIXON,Solano,18718,2626,26501,66818,71994
DIXON LANE-MEADOW CREEK,Inyo,2447,728.3,27392,44792,72394
DOBBINS,Yuba,658,84.9,19331,35469,48182
DOGTOWN,San Joaquin,2475,190.9,30638,68281,79565
DOLLAR POINT,Placer,1076,658.1,44872,68892,87500
DORRINGTON,Calaveras,349,96.2,42523,81477,80909
DORRIS,Siskiyou,1115,1588.3,13843,30179,32708
DOS PALOS,Merced,5023,3723.5,13218,33700,34171
DOS PALOS Y,Merced,171,108.4,19360,17708,22000
DOUGLAS CITY,Trinity,670,26.8,22331,31645,52000
DOWNEY,Los Angeles,113082,9113.6,23216,60374,64187
DOWNIEVILLE,Sierra,233,73.2,29637,54196,112589
DOYLE,Lassen,382,62.6,20169,21950,39196
DRYTOWN,Amador,148,40.1,25704,77188,107700
DUARTE,Los Angeles,21676,3240.1,26421,62186,72440
DUBLIN,Alameda,49694,3262.3,44679,114699,128737
DUCOR,Tulare,646,1059,10834,28036,23833
DUNNIGAN,Yolo,1017,194.4,27670,63875,74828
DUNSMUIR,Siskiyou,1482,923.9,20503,29464,38571
DURHAM,Butte,5743,70.2,34648,69323,75050
DUSTIN ACRES,Kern,295,80.3,24897,48269,59688
DUTCH FLAT,Placer,132,222.6,33769,54000,58750
EAGLEVILLE,Modoc,70,72.2,19651,28333,52083
EARLIMART,Tulare,8310,3947.7,7894,24968,26435
EAST FOOTHILLS,Santa Clara,6479,3094.1,49726,120881,122969
EAST HEMET,Riverside,18188,3489,19371,45374,49055
EAST LOS ANGELES,Los Angeles,127610,17128.9,12905,39103,41577
EAST NICOLAUS,Sutter,251,54.8,22273,42566,44408
EAST OAKDALE,Stanislaus,2901,611.8,40010,84018,95938
EASTON,Fresno,1991,661.2,26678,58813,63917
EAST OROSI,Tulare,321,1294.4,7465,29000,31375
EAST PALO ALTO,San Mateo,28920,11540.3,18527,52716,53094
EAST PASADENA,Los Angeles,6123,4642.2,45380,76019,87273
EAST PORTERVILLE,Tulare,6585,2209.7,10164,31900,31012
EAST QUINCY,Plumas,2633,217.4,23396,51045,56667
EAST RANCHO DOMINGUEZ,Los Angeles,15343,18665.5,13065,44964,47115
EAST RICHMOND HEIGHTS,Contra Costa,3501,6036.2,32733,68185,83125
EAST SAN GABRIEL,Los Angeles,15573,9982.7,33792,72500,90219
EAST SHORE,Plumas,203,171.6,48613,80625,152083
EAST SONORA,Tuolumne,2168,875.6,28074,43484,52500
EAST TULARE VILLA,Tulare,951,1973,15225,45446,45625
EASTVALE,Riverside,55298,4366.9,28687,109783,109717
EAST WHITTIER,Los Angeles,10440,9578,27809,66377,73207
EDGEWOOD,Siskiyou,30,29.5,15243,34375,35313
EDMUNDSON ACRES,Kern,274,4151.5,9448,35000,34375
EDNA,San Luis Obispo,174,142.7,31055,75294,75417
EDWARDS AFB,Kern,2503,146.1,20554,63162,64265
EL CAJON,San Diego,101582,7016.3,20430,45957,50257
EL CENTRO,Imperial,43268,3903.6,18463,41677,47303
EL CERRITO,Contra Costa,24136,6599.9,45190,88380,104524
EL CERRITO,Riverside,5551,2174.3,22752,60987,61467
EL DORADO HILLS,El Dorado,43862,905.3,46853,118306,129292
ELDRIDGE,Sonoma,1333,2044.5,29956,54355,61786
EL GRANADA,San Mateo,5377,1114.9,57758,110000,158309
ELIZABETH LAKE,Los Angeles,1603,256.6,30157,56806,66500
ELK CREEK,Glenn,136,93.9,23439,42500,44464
ELK GROVE,Sacramento,158455,3755.5,29695,79051,84732
ELKHORN,Monterey,1342,279.1,33900,84758,103750
ELMIRA,Solano,242,455.7,24259,71793,70870
EL MONTE,Los Angeles,115243,12052.2,15010,38906,40727
EL NIDO,Merced,412,125.2,29007,30956,33375
EL PASO DE ROBLES (PASO ROBLES),San Luis Obispo,30522,1594.1,28358,59978,66880
EL PORTAL,Mariposa,601,584.1,41825,102872,103429
EL RANCHO,Tulare,16,222.2,NA,NA,NA
EL RIO,Ventura,6785,3352.3,17696,59179,67039
EL SEGUNDO,Los Angeles,16839,3082.4,42575,84004,103205
EL SOBRANTE,Contra Costa,13122,4745.8,30822,60732,66806
EL SOBRANTE,Riverside,14855,2059.5,30822,99080,99126
EL VERANO,Sonoma,4338,3798.6,25804,50811,43250
ELVERTA,Sacramento,5547,627.3,23017,60718,61516
EMERALD LAKE HILLS,San Mateo,4519,3781.6,80009,166063,188654
EMERYVILLE,Alameda,10497,8194.4,53155,69329,84688
EMPIRE,Stanislaus,4296,2748.6,12446,31446,34128
ENCINITAS,San Diego,61008,3243,48067,92564,111696
ESCALON,San Joaquin,7252,3151.7,26249,57971,72694
ESCONDIDO,San Diego,147603,3982.9,21684,49409,53983
ESPARTO,Yolo,3229,701.8,19565,64844,66652
ETNA,Siskiyou,750,986.8,14168,26711,28438
EUCALYPTUS HILLS,San Diego,5352,1124.8,31768,71861,78313
EUREKA,Humboldt,27039,2881.4,21151,38007,50807
EXETER,Tulare,10468,4250.1,19357,41341,46295
FAIRBANKS RANCH,San Diego,3245,637,55172,119228,133707
FAIRFAX,Marin,7546,3423.8,56506,93354,132545
FAIRFIELD,Solano,107983,2888.2,27110,66190,75091
FAIRMEAD,Madera,1983,256.3,10861,31058,37550
FAIR OAKS,Sacramento,31256,2895.1,40467,73295,91885
FAIRVIEW,Alameda,9852,3582.5,36521,90365,100551
FALLBROOK,San Diego,31435,1793.7,25565,51765,56025
FALL RIVER MILLS,Shasta,712,274.6,17021,32824,30893
FARMERSVILLE,Tulare,10675,4727.6,11102,32455,34538
FARMINGTON,San Joaquin,124,48.8,55222,19886,130357
FELLOWS,Kern,98,149.4,24036,63250,63500
FELTON,Santa Cruz,3957,869.3,41368,75550,95000
FERNDALE,Humboldt,1456,1417.7,37233,45948,61058
