srch_destination_id	srch_destination_name	srch_destination_type_id	srch_destination_latitude	srch_destination_longitude	popular_naturalfeature_beach	popular_activity_dining	popular_social_bars	popular_shopping_shopping	popular_historical_historical	popular_food_coffee	popular_field_business
11624	Amarillo (and vicinity), Texas, United States of America	464	35.19135	-101.89983	-2.2104381762757974	-1.6887862179064097	-2.040806319101223	-2.104407476231709	-2.169851565868232	-1.9186706512750813	-1.9944031044890442
11748	Amman (and vicinity), Jordan	464	31.961623	35.906622	-2.156497904049137	-1.905150808553052	-2.028577630647639	-2.0444732305099813	-2.093200128776144	-2.1562419000255173	-2.011009431234144
12802	Aqaba, Jordan	557	29.54041	35.04733	-1.7732903928697834	-1.912261424254716	-2.0872887069309694	-2.0985659289347134	-2.1178870956740505	-2.1287012133512704	-2.167652433930505
12833	Arequipa, Peru	557	-16.41234	-71.47617	-2.1270386756577313	-1.904844750509172	-2.1231365803273343	-2.1204849422010623	-1.9685242384645587	-2.2181394405064956	-2.1615142454483878
13515	Asuncion (and vicinity), Paraguay	464	-25.28372	-57.62779	-2.169522603837057	-2.0218545535851313	-2.079676539558991	-2.0445746091232104	-2.0641663465235287	-2.1942975037923236	-2.1103373360159106
13980	Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America	464	44.26222	-88.46827	-2.1428506872510287	-1.8058284825260218	-2.0745771878155477	-1.991938073720945	-2.0423600293659123	-2.1094277193407382	-2.0839879491085105
14135	Augusta (and vicinity), Maine, United States of America	464	44.317156	-69.80534	-2.0459552861829877	-1.6652482958330521	-2.0781889525003594	-1.9070068573509769	-2.0645022791707337	-2.1051966065240126	-2.1194151818823515
14569	Avignon, France	774	43.94932	4.816989	-2.2037675700591173	-1.7729355752244476	-2.053076740698175	-2.051165433948432	-1.9158705162412775	-2.100427009462071	-2.127569857715167
14755	Anguilla (all), Anguilla	464	18.180819	-63.134483	-1.70247852168686	-1.8724241445589926	-2.0690811899873434	-2.1900194884725597	-2.0375582063411892	-2.2293607156623976	-2.2072583174870655
15189	Kalamazoo (and vicinity), Michigan, United States of America	464	42.26536	-85.58328	-2.1325762421584478	-1.9236370941328527	-2.0561842788024958	-1.9675891831464476	-2.0367811264641946	-2.105098323647467	-1.9773221117116084
15282	Baguio, Philippines	557	16.40382	120.5921	-2.2178062929701228	-1.937297348126642	-2.177879324360463	-2.0766912615781212	-1.997120100905809	-1.9763237358543215	-2.169483973755958
15437	Barranquilla (and vicinity), Colombia	464	11.004723	-74.812281	-2.0983578362778976	-1.8846170309928914	-2.0253366536280106	-2.0658245726799342	-2.0198677466082198	-2.1197829819663756	-2.079200116709708
17049	Bakersfield (and vicinity), California, United States of America	464	35.38047	-119.043354	-2.1882513912789303	-1.6939334801033339	-1.968578906003812	-2.158141744187895	-2.004167889835682	-2.019438587452705	-1.997941436427777
17297	Bridgetown, Barbados	557	13.10476	-59.60057	-1.3167136978623686	-1.5150957219708534	-1.9308476044275513	-2.179789611564156	-1.9309473914189224	-2.188177263378681	-2.106553914424906
17514	Bar Harbor (and vicinity), Maine, United States of America	464	44.39461	-68.22302	-2.137430154796925	-1.7814814143891349	-1.5616363420759962	-2.0508117742906458	-2.061239711991531	-2.058871807489133	-2.095147960501537
18196	Billings (and vicinity), Montana, United States of America	464	45.75373	-108.55272	-2.2274564763194604	-1.8011863076191337	-2.016036142477184	-1.9527239946731771	-1.9300784292291946	-2.0423360910945756	-2.07191641801788
18785	Kota Kinabalu (and vicinity), Malaysia	464	5.980231	116.074808	-1.9410291096547345	-1.7921871255662924	-2.046286279890352	-1.8986546742353696	-2.2097524109720257	-2.171274916690708	-2.0614258799556073
20800	Beaumont (and vicinity), Texas, United States of America	464	30.05232	-94.14188	-2.1770119738309437	-1.905259692887977	-2.0958434481228827	-2.1752799942635987	-2.1805669421625424	-2.0985973226686023	-1.9962618128563734
21451	Bristol (and vicinity), England, United Kingdom	464	51.452417	-2.59069	-2.25926064118086	-1.5615293504722725	-1.6823018192913117	-1.5984416090095417	-2.0365051992774563	-2.0397271424805097	-1.9315415694485454
22040	Butte (and vicinity), Montana, United States of America	464	45.985898	-112.50807	-2.2174335119239448	-1.92010561729573	-2.0099630681522034	-2.17335745879063	-1.9227792457530835	-2.071581655915694	-2.1036735583115296
22412	Bucharest (and vicinity), Romania	464	44.438596	26.094817	-2.2075287214026336	-1.7458096396765739	-1.9332832089680034	-2.0873035784187297	-1.9479604346554313	-2.1274002552042393	-2.0133859539795878
22598	Burbank, California, United States of America	557	34.1839	-118.3272	-2.1843693485994247	-1.5430655442184629	-1.9327108695982205	-1.973139904542562	-1.9669315138622585	-1.8866050353122499	-1.9101043346031346
23590	Bozeman (and vicinity), Montana, United States of America	464	45.69789	-111.04859	-2.206285261520042	-1.786204995266922	-2.071997134619589	-2.0572138473481156	-2.1436733047075656	-1.9738490515082194	-2.044372407445996
23807	Columbia (and vicinity), South Carolina, United States of America	464	34.01451	-81.03724	-2.0880595346859208	-1.8343034853502023	-2.041262334345723	-2.0852845499372523	-1.982601108703042	-1.9989969936093397	-2.061319604016318
24024	Guangzhou (and vicinity), China	464	23.136268	113.312573	-2.19878635155135	-1.8449399970724853	-2.048521624934063	-1.9443345702394013	-2.153287831409732	-2.1686518136305755	-1.901965885220558
25233	Cortez (and vicinity), Colorado, United States of America	464	37.34874	-108.577522	-2.2127001020512576	-1.6553458527892877	-2.1081373752995543	-2.2123510766150956	-2.1834754416728153	-2.045229702569693	-2.1516607577035094
25760	Chattanooga (and vicinity), Tennessee, United States of America	464	35.043222	-85.240201	-2.2411485357102343	-1.6725550822170396	-2.0257587003870903	-2.024536981984091	-1.884696279325641	-2.090529792691027	-1.9872241451503616
26442	Ciudad Juarez, Chihuahua, Mexico	557	31.66261	-106.4475	-2.2242064496645972	-1.7645530076333604	-1.8864633405062357	-2.03458696713275	-1.8946523638954909	-2.1024081426473367	-2.026078069048913
26721	Carlsbad, California, United States of America	774	33.12571	-117.2883	-1.5044810124779149	-1.6604227923373316	-2.1054537886725755	-1.8206632953162192	-1.9701793064993707	-2.0261611061796962	-2.060509808044261
26814	College Station (and vicinity), Texas, United States of America	464	30.62921	-96.31858	-2.2280329720907988	-1.850569264520819	-2.020029699087874	-2.070367447364634	-1.9832146582517964	-2.05228495156301	-2.0480848049853497
26876	Cali (and vicinity), Colombia	464	3.453464	-76.535858	-2.1949965554696758	-1.8319125865125527	-1.9915867600674682	-1.974608355818041	-2.1537548626015726	-2.1949965554696758	-2.00935354266014
27713	Chiang Mai (and vicinity), Thailand	464	18.786246	98.994455	-2.2318904188848316	-1.8304023370548421	-2.054886402003394	-2.086950327715742	-1.8743518457120067	-2.1925643469789877	-2.166263568244
27744	Moab, Utah, United States of America	774	38.67294	-109.3031	-2.2408379302123946	-1.6206076847845834	-2.0868411397663724	-1.9574262149701254	-2.1871276448428034	-1.8596927650096324	-2.069420844585642
28054	Columbia (and vicinity), Missouri, United States of America	464	38.96029	-92.294331	-2.22055457881825	-1.9045909005592332	-2.0983274969014483	-2.0129505242787213	-2.0178039661535916	-2.046833858500647	-2.055481401845818
28395	Culebra, Puerto Rico	557	18.31571	-65.28642	-1.8314641269743335	-2.028317895605009	-2.1293716782355308	-2.2064314428469065	-2.2064314428469065	-2.1626851102680638	-2.200044857636589
28488	Corpus Christi (and vicinity), Texas, United States of America	464	27.79694	-97.39128	-1.5340671568512025	-1.8036350336081692	-1.9922213040522665	-2.128043014700962	-2.164768693869827	-2.0053633259328847	-2.0842364132519946
28581	Columbus, Georgia, United States of America	557	32.49709	-84.88702	-2.0215768439794446	-1.7913787025975876	-2.149161052276517	-1.96120027567575	-1.9607918737678036	-2.1243856011787985	-2.0593360988534584
28829	Cartagena (and vicinity), Colombia	464	10.423611	-75.548757	-1.7825192638891019	-1.8812455538236503	-2.0605145584033084	-2.0526502908328665	-1.8299743181259644	-2.142859737555974	-2.1659153220487095
29015	Cuenca (and vicinity), Ecuador	464	-2.895811	-79.002536	-2.1940846922264496	-1.8503482695613767	-2.0896569521595647	-2.115959094830366	-2.045440529819491	-2.1921607598049864	-2.101745634642198
29108	Cancun, Quintana Roo, Mexico	557	21.12304	-86.88591	-1.321213664000013	-1.463397644331882	-1.7647864586852462	-2.057102437946891	-2.0657007279231006	-2.181385364819753	-2.2421060768592533
29232	Chihuahua, Chihuahua, Mexico	557	28.65949	-106.0593	-2.1961527492388564	-2.0097300363161903	-2.1478819179390474	-2.1312738744165185	-1.9732396114291069	-2.1961527492388564	-2.0148709467606607
30317	Da Nang (and vicinity), Vietnam	464	16.064885	108.245142	-1.8296723776783055	-1.8919268086571974	-2.0197055294143493	-2.130109848693471	-2.185392344921257	-2.1878478422982703	-2.088752991158338
30441	Dar es Salaam, Tanzania	557	-6.800478	39.23046	-1.9910451306464192	-1.820992893931104	-2.0352695037040758	-2.022619064292413	-1.9796958823753124	-2.1069898883098626	-1.941573291421354
30658	Dubuque (and vicinity), Iowa, United States of America	464	42.49601	-90.67473	-2.214623973772894	-1.6960216323559547	-1.892901569788746	-2.0147881245048054	-2.0641666233159315	-2.0499662316621454	-2.0823423248402415
30689	Dubrovnik, Croatia	557	42.6951	18.05265	-1.8282510611038942	-1.7449052972891277	-1.924463218006353	-2.0596459865396564	-1.6396697518669527	-2.1996933641218925	-2.128301563180342
30875	Decatur (and vicinity), Illinois, United States of America	464	39.891796	-88.954668	-2.1404068384368107	-2.0128616309431275	-2.1477357807844433	-2.0522774933961605	-2.002126133370001	-2.086278678631885	-2.0245620309952153
31309	Dothan (and vicinity), Alabama, United States of America	464	31.22449	-85.429001	-2.1919350572132643	-1.8593564195735022	-2.0776446725781472	-2.1193734689817196	-2.1712320896636075	-2.0802849530413985	-2.0107512545190303
31433	Dickinson, North Dakota, United States of America	557	46.86253	-102.8102	-2.2045198735579734	-1.9737607501903176	-2.105207934650903	-2.1248288318886672	-2.0408221013241996	-2.0921751495400813	-2.0400643325900596
32022	Duluth (and vicinity), Minnesota, United States of America	464	46.78208	-92.10205	-2.0750972957963243	-1.6873472739256508	-1.9429889648308694	-1.8624084565984371	-1.997126289558528	-2.0068417000539545	-2.0969511475606044
32053	Da Lat, Vietnam	557	11.92321	108.4671	-2.2223741061268067	-1.9486791264475718	-2.1327302735187823	-2.0598449302403603	-2.143828115823927	-2.087967447758787	-2.117462535541205
32611	Doha (and vicinity), Qatar	464	25.288641	51.532418	-2.0458371742593124	-1.870598170666213	-2.035710951656272	-2.096712921391886	-2.1523392912284245	-2.134603893888274	-1.931680746109879
33510	Davao (and vicinity), Philippines	464	7.076682	125.615184	-2.031648699853828	-1.849670133096659	-2.1102408810076723	-2.065921023711999	-2.1782100787306153	-2.1714801572705014	-2.0077630415666454
33572	Dubai Emirate, United Arab Emirates	464	25.207977	55.275153	-1.8581586068846512	-1.7665663974050907	-1.997300167184556	-1.8767559912080214	-1.991950245182088	-2.116314952312476	-2.00772760935708
33789	Kearney (and vicinity), Nebraska, United States of America	464	40.67352	-99.086541	-2.1984322764122766	-1.7218147623931341	-2.099880861634317	-2.168527957320526	-2.184999247599281	-2.0448039537738003	-2.038019078822196
33944	Kampala, Uganda	557	0.30793	32.57166	-2.131070875499009	-1.9942992788156049	-2.112281369107469	-2.1358496678694845	-2.0911735145786823	-2.1233365374137767	-2.112112729047659
34719	Tortola, British Virgin Islands	774	18.42034	-64.62942	-1.5809633638996883	-1.787394451617365	-1.9128072262753584	-2.2064137433372717	-1.9690306380652043	-2.206490812879264	-2.233857579381422
34843	Elko (and vicinity), Nevada, United States of America	464	40.848513	-115.747033	-2.23550878889599	-1.7518112575502744	-2.1539729699316825	-2.1325187257663085	-2.0629052230653424	-2.111760978088807	-2.13008602868676
35091	Elmira (and vicinity), New York, United States of America	464	42.1599	-76.86564	-2.2110227564956677	-1.7020672202670273	-2.09616871922255	-1.9069424724748878	-2.1658708155926125	-1.9617964183794225	-2.0566765722025924
35122	El Paso (and vicinity), Texas, United States of America	464	31.78105	-106.404565	-2.2274034020524245	-1.727467665848906	-2.012933161007982	-2.0765567672949086	-1.907086740686011	-2.08810052064108	-2.0010630829771623
35308	Ely, Nevada, United States of America	557	39.27115	-114.8711	-2.2161111864398686	-1.8618991941163956	-2.154676859060874	-2.2161111864398686	-1.9484679483369285	-2.0249440126487963	-2.0020599518676545
36083	Erie (and vicinity), Pennsylvania, United States of America	464	42.070384	-80.080429	-2.077238159268547	-1.6636602721689797	-2.004005463978431	-1.5958299603100221	-2.2116566781271114	-1.878611127704098	-2.0240536440058383
36238	Alexandria (and vicinity), Louisiana, United States of America	464	31.31538	-92.4782	-2.188729566951945	-1.913183174075204	-2.104271807840456	-2.096116010386856	-2.188729566951945	-2.0414097628915275	-1.988499792418118
36393	Eilat (and vicinity), Israel	464	29.550691	34.95828	-1.8374799567144429	-2.012577628506628	-2.1305934403496685	-2.121330981709464	-2.197453533769003	-2.21008379379976	-2.196514669632794
36641	Yerevan, Armenia	557	40.19662	44.52225	-2.1137549241464306	-2.0570996985597447	-2.1477611318349967	-2.1385888405883438	-2.0067729130653564	-2.1721944582497774	-2.159034891695424
36672	Evansville (and vicinity), Indiana, United States of America	464	37.97755	-87.49267	-2.1972690230086647	-1.823728646598169	-2.044080386910728	-1.979765961203783	-2.1744292723670804	-2.1018884238469555	-1.9972257328447076
36734	New Bern, North Carolina, United States of America	557	35.11103	-77.04486	-2.1164904406752094	-1.8492765797272517	-1.9955978819505762	-2.0505533456933183	-1.9229542704656373	-2.18332147857705	-2.0876781923159777
37013	Fairbanks (and vicinity), Alaska, United States of America	464	64.840215	-147.725327	-2.212067119237924	-1.6953131844088234	-1.980529755043328	-2.075405883397	-2.177566569765339	-1.991385522943273	-1.987523423551126
37292	Whitefish (and vicinity), Montana, United States of America	464	48.394319	-114.335313	-2.202452283451209	-1.7256951170380666	-2.000726062527183	-1.920610730267243	-2.2206832585518974	-1.935660012134376	-2.1025831962945345
37974	Florence (and vicinity), South Carolina, United States of America	464	34.227303	-79.80298	-2.123669966336967	-1.7051728077753676	-2.0848680339647054	-2.093286497014917	-2.1935424932209937	-2.04323984842535	-2.026988624512222
38005	Florence, Italy	557	43.77969	11.24489	-2.223976589069881	-1.6852703728115144	-1.8683883576036566	-1.9992828250509882	-1.9941646763726866	-2.04981711189951	-2.144388281818314
38501	Flint (and vicinity), Michigan, United States of America	464	42.98827	-83.72416	-2.1863325945048784	-1.884319374394738	-2.083136462854184	-2.0704659663481433	-2.167514138677245	-2.0562877334448495	-2.0565329769367193
39276	Fuerteventura, Spain	464	28.393655	-13.868083	-1.7648462651709143	-1.8439083702327796	-1.8924944274583557	-2.074801817039015	-2.1253983775301344	-2.204475375897038	-2.219653288032952
39338	Fukuoka (and vicinity), Japan	464	33.590529	130.410209	-2.0972485279764825	-1.7866244714346313	-2.099379121612972	-1.815946907275181	-2.0965271325006127	-2.2138314555892626	-2.0980812440590983
40082	Gillette (and vicinity), Wyoming, United States of America	464	44.28325	-105.493703	-2.219622391306799	-1.940186328084481	-2.163692511217445	-2.0312081903168617	-1.9527471710246977	-2.1590268780639703	-2.0931215952254982
40206	Grand Canyon National Park, Grand Canyon, Arizona, United States of America	681	35.57624	-111.8293	-2.2588267772603206	-1.5450708337404864	-1.9472310467511	-1.9628226014740415	-1.9152459861131406	-1.8716981967101505	-2.1184993366127665
40268	Guadalajara (and vicinity), Jalisco, Mexico	464	20.670949	-103.388609	-2.153623765462441	-1.714021098494103	-2.022975035752742	-2.0414896249377104	-1.7454983290887984	-2.143934504006553	-2.0470111990296433
40795	Grand Forks, North Dakota, United States of America	557	47.9187	-97.13939	-2.2224748210620864	-1.8275005492337122	-2.0250303394064693	-1.7660577464642375	-2.158185121666421	-2.017085023949537	-2.1079050190966018
40857	Longview (and vicinity), Texas, United States of America	464	32.4882125	-94.72299	-2.1862259279839664	-1.941738813504931	-2.1353464616841586	-2.1323139469601555	-2.1734875067122825	-2.0928385145055524	-2.0204769311635347
41384	Grand Junction (and vicinity), Colorado, United States of America	464	39.112646	-108.54066	-2.2432561648294413	-1.4598830812748775	-1.7207371966010103	-2.1278087298603534	-2.2274110559765563	-1.9282911822442266	-2.017276333789281
41477	Glasgow, Scotland, United Kingdom	557	55.9177	-4.272382	-2.2594986465268194	-1.6008020623467862	-1.6678888592978036	-1.767135053760526	-2.033077905364319	-2.015028862082825	-1.923581999235571
41694	Galveston (and vicinity), Texas, United States of America	464	29.27234	-94.82693	-1.2981091919582064	-1.594369531038257	-1.7827522348546752	-2.0552733750172876	-1.9303241214368785	-1.9663646288877925	-2.077015362102483
42469	Gothenburg (and vicinity), Sweden	464	57.703865	11.97266	-2.2181881340590484	-1.8926801042979722	-2.029280319888967	-2.05772608013086	-1.982890489584838	-2.184486439336311	-2.0705247958007735
42717	Green Bay (and vicinity), Wisconsin, United States of America	464	44.48611	-88.06149	-2.1938003172113083	-1.7194981346952558	-1.945162030137703	-2.0239780178781115	-2.2040460438652945	-2.0210973113349624	-2.012028764590951
42779	Grand Island (and vicinity), Nebraska, United States of America	464	40.895904	-98.3789	-2.1851189969126086	-1.8804080202759017	-2.1309087331512733	-2.1367645213528874	-2.1826437098320017	-2.086697213553683	-2.080996143269709
43275	Great Falls (and vicinity), Montana, United States of America	464	47.49418	-111.30745	-2.22013114405921	-1.6997371279863955	-2.089441048751869	-1.7001306147441881	-2.1834879781424332	-1.9578585247572797	-2.069033989603792
43523	Gallup, New Mexico, United States of America	557	35.54556	-108.7532	-2.2080348430725523	-1.8965048902189299	-2.092795331234776	-1.9974536622421828	-1.925050260280751	-2.045329902845552	-2.11069488598395
43957	Guayaquil (and vicinity), Ecuador	464	-2.179051	-79.884784	-2.1250649241740964	-1.7763944367121405	-2.0606204494679696	-1.9654434998110657	-1.9950931424776206	-2.1792167083495513	-2.0344046683355916
44391	Hanoi (and vicinity), Vietnam	464	21.032326	105.849663	-2.1562816808243164	-1.8566102150433734	-2.0064020201002517	-1.9217557162211867	-1.902386946274702	-2.1809845038546594	-2.070074975676088
45197	Hangzhou (prefecture), China	464	30.2603	120.156486	-2.209319716914867	-1.956590964503608	-2.0462271168480175	-1.978146636947475	-2.0614507559631945	-2.1962210159729247	-2.027256835987215
45507	Lake Havasu City, Arizona, United States of America	557	34.51685	-114.243	-1.9763618313509215	-1.892119650474355	-1.9402439638273787	-1.9930732165326568	-2.0408310490121457	-2.0327438706512972	-2.1244828997133025
46034	Helena (and vicinity), Montana, United States of America	464	46.59121	-112.0035	-2.2265331195894706	-1.92330537227695	-2.158151206739223	-2.112347406291324	-1.958833960398948	-2.00746396551886	-2.0308010396105325
46251	Honolulu, Hawaii, United States of America	557	21.30892	-157.8048	-1.2272741613940876	-1.5848218056387666	-1.874556228454658	-1.5847176271582988	-2.04433222451897	-2.0343954307120713	-2.163901962051661
46995	Hurghada (and vicinity), Egypt	464	27.1004295	33.84427	-1.8935425859983563	-1.9531561079411393	-2.0719042849424065	-2.1248583941752583	-2.198921196716452	-2.1958657693059096	-2.1441281842649875
48514	Idaho Falls (and vicinity), Idaho, United States of America	464	43.497752	-112.04716	-2.2233654492145	-1.765176471611733	-2.0467037754930235	-2.1655392409906704	-2.060330362458903	-2.02959144999651	-2.0531597863866455
48855	Kingman, Arizona, United States of America	557	35.42028	-113.954	-2.215587098031633	-1.9877328296168018	-2.1714870809723146	-2.1695570295266196	-1.9002991978515327	-2.009860099593812	-1.927108098408794
49258	Killeen (and vicinity), Texas, United States of America	464	31.10046	-97.735823	-2.207996632563962	-1.85149940864015	-2.07739688195405	-2.060415872148938	-1.9455046985388358	-2.117211314004298	-1.9341333387623723
49320	Wilmington (and vicinity), North Carolina, United States of America	464	34.23982	-77.880289	-1.5249920358343172	-1.6850098420425974	-2.0017636566088086	-1.924051924706532	-2.0702757537487324	-1.99354809793219	-2.0437838350624995
50343	El Centro (and vicinity), California, United States of America	464	32.77673	-115.5537615	-2.087915889018768	-1.9609804450160584	-1.9875024000997539	-2.140455797152444	-1.9999243180592001	-2.136150676135391	-2.127019127919137
50839	Williston, North Dakota, United States of America	557	48.22935	-103.7276	-2.2007512560504128	-2.032557177543841	-2.130788723522164	-2.1656368267575585	-1.9869642783661157	-2.189704615436445	-2.057279755180115
51800	Jackson, Wyoming, United States of America	774	43.47456	-110.5658	-2.246851691225138	-1.5759618796569106	-1.8771344538071202	-1.8338228798652798	-2.1389323635363153	-1.871377606710229	-2.1251230419330467
51893	Jackson (and vicinity), Mississippi, United States of America	464	32.32798	-90.14852	-2.1862691025883203	-1.8205561374128738	-2.078648155154678	-2.0226315919293363	-2.1705870948987047	-2.078437700327372	-1.953229856884984
52203	Jeddah, Saudi Arabia	557	21.62947	39.18303	-2.1116894633116208	-1.9981828513231776	-2.1407122912435166	-2.0646514251357275	-1.9367424948817684	-2.1894204219959654	-1.9280899049660674
52978	Joplin (and vicinity), Missouri, United States of America	464	37.05028	-94.47853	-2.1942247676803093	-1.852893598206752	-2.0634952601794194	-2.134852359874692	-2.176359728006207	-2.057372117615208	-2.019655845936876
53040	Mykonos, Greece	557	37.43821	25.33403	-1.8094677823977496	-1.924057899109982	-1.9801838296437562	-2.0887624467986012	-1.969155508378917	-2.2229756300452346	-2.2117088009971795
53164	Johannesburg, South Africa	774	-26.21178	28.07761	-2.215035757443628	-1.6831641768491674	-1.9163394208821016	-1.935781956536662	-2.1608503832203696	-2.137737460710538	-1.9236779029080762
53288	Juneau (and vicinity), Alaska, United States of America	464	58.301282	-134.416096	-2.165487183533012	-1.8392740979847886	-2.0643551622591616	-1.9638490754538378	-2.072169010226638	-2.1244350336149664	-2.135890587810171
53381	Yogyakarta (and vicinity), Indonesia	464	-7.78299	110.368652	-2.1918002417608973	-1.882238518273615	-2.041709416603506	-2.043978061461656	-2.108127393543338	-2.188015653351339	-2.1388437131918154
53908	Santorini Island, Greece	464	36.419936	25.430659	-1.9195112593024453	-1.8383520856523585	-2.0651869323301706	-2.0515917762552878	-1.9818480482524563	-2.1998523867335935	-2.236279805941562
62278	La Paz (and vicinity), Baja California Sur, Mexico	464	24.185697	-110.303051	-1.7938309062066422	-1.8405070886818686	-2.1144430312694658	-2.0765420929402185	-2.082820564119075	-2.039943335582191	-2.12363213590971
62340	Laramie, Wyoming, United States of America	557	41.28928	-105.7688	-2.21322194661064	-1.828282052771731	-2.0855586405133644	-2.1278991653709425	-1.9296262147373453	-2.0221671519147226	-2.1433821434151192
62371	Las Vegas, Nevada, United States of America	557	36.14563	-115.4639	-2.2517105184533417	-1.3894139940904722	-1.835935302500059	-1.7423842696113931	-2.0696708091517464	-1.7943204614768915	-1.9693552141375934
62433	Lawton, Oklahoma, United States of America	557	34.65826	-98.43703	-2.1599144795058667	-1.9036605974338292	-2.125280268069339	-2.113140998010784	-2.098478330502699	-2.0565750793014423	-2.1178159066055438
62650	North Platte, Nebraska, United States of America	557	41.11956	-100.7432	-2.1351320146199773	-1.9289597928681055	-2.161472695430234	-2.141806717311666	-2.023522062920207	-2.1077593177516447	-2.0291851006291637
63022	Lake Charles (and vicinity), Louisiana, United States of America	464	30.20452	-93.247253	-2.1126115136557315	-1.7975334587610552	-2.047276540024745	-2.130542394390789	-2.1963682357157546	-2.0757606981036183	-2.0075880915318614
63394	Lebanon (and vicinity), New Hampshire, United States of America	464	43.64556	-72.296458	-2.0977715416073237	-1.8761354493268216	-2.1911413911081508	-2.1067446308117934	-1.943479543637203	-2.0845665132722635	-1.928430396929095
64045	Langkawi, Malaysia	464	6.318682	99.731641	-1.5792423134415619	-1.708686875523695	-1.989339595012929	-1.912603079833795	-2.1423158126770363	-2.229494504304344	-2.1222592974824765
64758	Ljubljana (and vicinity), Slovenia	464	46.0526	14.505169	-2.200245461312297	-1.803967245892313	-2.0037966949332047	-2.150613229855562	-1.78897954425989	-2.185872963387734	-2.1088736692216026
65688	Lagos (and vicinity), Nigeria	464	6.433285	3.42323	-2.137140902689866	-1.9790929158018125	-1.9879010514740965	-2.1568052837203653	-2.184993285922724	-2.1815910452004776	-1.9773647799201706
65998	Luang Prabang, Laos	557	19.87801	102.1461	-2.0511064109795623	-1.9876425229591135	-2.117666581333401	-2.2089559445205285	-2.0475072237513765	-2.1375338528773584	-2.162916486386926
66184	Laredo, Texas, United States of America	557	27.77157	-99.3435	-2.207369172287143	-1.9409056723711968	-2.1734024462296424	-2.046170234614015	-1.9232973094522674	-2.1239306050063678	-2.0968159076531676
66277	La Romana, Dominican Republic	774	18.40458	-68.99835	-1.3299771449829867	-1.5298150625773077	-1.844315840128541	-2.115978279096812	-2.2845366741112416	-2.1431932720891673	-2.1955270379666887
66370	Las Cruces (and vicinity), New Mexico, United States of America	464	32.292463	-106.77214	-2.210666348529053	-1.8339876554286163	-2.1140137896575353	-2.002771615040361	-2.0278757875347297	-1.9749926982793153	-2.043759060338949
66835	Loreto, Baja California Sur, Mexico	557	25.86429	-111.319	-1.9377351649138423	-1.924821680994489	-2.096912785328296	-2.1312487105976463	-1.9733865478953743	-2.156767196313067	-2.194028960603451
67548	Lviv, Ukraine	557	49.79329	24.05864	-2.2269511204459476	-1.9129800423610968	-2.0204185377652353	-2.1144047186914827	-1.9434051190773813	-2.071647096557672	-2.044285941715207
67579	Lewiston (and vicinity), Idaho, United States of America	464	46.413421	-117.001982	-2.200312673720522	-1.8151244839412224	-2.0179509161034432	-2.1327535874856345	-2.1817502593662867	-2.009888853405338	-2.061592998443641
67734	Luxor, Egypt	557	25.68963	32.61804	-2.220136342508577	-1.8962869479507694	-2.056478033394885	-2.141983681438733	-2.009904431116599	-2.2026946751108434	-2.115300806303923
